case_id,description,solution
64,access review contract setup review contract setup hi assign thank engineer review contract setup dear kindly ask report review contract setup add report column shows creator created contract background contracts setup prod needs overview contracts created prod persons created contracts prod billing important setup contracts going friday tried extract information person created contract updated column persons information kindly members report picture think helpful matter thank help great analyst,Miscellaneous
65,new purchase po purchase po dear purchased requested type cable micro mini adaptor mini female adaptor male female log allocation receive item consideration mandatory receipts section order receive item ordered video link receipt number item needed processed kind regards administrator,Purchase
66,report report hi inform mentioned user forbidden cracks cracked best regards monitoring analyst,Access
67,access folders folders dear joiner today given folders important treasury thanks head tax treasury pm folders fine wrote hi given folders thanks head tax treasury,Storage
68,password change wants hi change forced change procedure changed recently regards accept decline requests,Access
69,monitor add install new monitor monitor hello dear monitor discussed told leave tower thank,Hardware
70,cancel incidents duplicates cancel incidents duplicates hello incidents cancel highlighted best regards senior engineer ext zone,Miscellaneous
71,revise access location revise location hello revise location users left attached clear additional users contributors role collection attached additional contributors picture view regards senior engineer registered number registered old broad street kingdom provide clients subsidiaries separate entity,Access
72,set com com exception complaint regarding resolution hello approved moderator close complaint thanks complaint regarding resolution proceed regards complaint regarding resolution hi help surveys lists surveys evaluating moves annual satisfaction ones thanks clarifying helping progress friday pm complaint regarding resolution hi writing regards complaint excerpt tuesday pm feedback hello informed checked moderator means approved moderator automatic informs delay flow process let information assistance needed kind regards analyst allow offer bit context entire lists caused corrective action limitations members groups allowed lists expand said directly personal instead corrective action moderators lists moderated means expanded wait moderator approve users groups added exceptions said lists permissions bypass moderator altogether solution recommend ask make location order surveys immediately reaching wait moderator approve course subject thank,Miscellaneous
73,quarantine new dear automatic seal tag machine pm kb automatic seal tag machine kb deleted automatically days change frequency log default locale,Miscellaneous
74,transfer license user transfer license user hello left going transfer license replaced role best regards senior engineer,Access
75,staff outlook hello make cancel moved offices starting today relocated attached thanks lovely,Administrative rights
76,vs professional subscription support vs professional subscription hello work tech stack assistance vs professional subscription objective activate azure benefit hands azure event representatives st azure unable perform azure work event issue sequence steps visual studio license status manage visual studio profile benefits azure error appears benefit azure subscription subscription entitled corresponding free azure subscription subscription personal created user defined personal azure instead azure work advise thank,Access
77,transfer request access win cl tuesday pm transfer form hello attached transfer form note update document required cost centre id section wrong indirect cost centre decision link working hardware pc telephony section link catalogue working text puma additional items required updated provided possible job started remain available details needed kind regards officer wednesday transfer form si la tuesday transfer form hi enclosed form transfer thanks administration officer,HR Support
78,install module new router critical peer session hello module replacement mounted powered thank engineer friday critical peer session shipping replacement router arrive unfortunately hardware known faulty problem module called inside router needs moved dead router router feel comfortable steps module dead router install let figure visit site handle installation run router good install rack rack thanks motherboard step turn electrical router leave cable plugged channel voltages ground step router cover step locate motherboard figure figure location content renditions screws connector standoffs step loosen screws step lift motherboard step static bag step replace cover install motherboard series install step warnings section disconnect replace module step turn electrical router leave cable plugged channel voltages ground step cover step identify slot router main motherboard step locate standoffs motherboard figure step insert slot board note ensure press firmly board seats connector step insert screws accessory standoffs tighten screws screwdriver torque nm step installed correctly board step replace cover friday critical peer session hello questions bellow friday pm replace router right away thank friday critical peer session connected router console working possible replace questions replacement blvd floor district person shipment accept shipment dates times shipment arrived physically replace router right away feel comfortable doing work thanks friday critical peer session hello somebody charge pulled cords router inserted stat led colour thank friday critical peer session number given number answered work thanks friday critical peer session thanks phone number watch console output tries boot ask pull cords insert vice president infrastructure networking greenwich plaza greenwich ct friday critical peer session hello physical router signs picture attached router stat led red colour picture attached tried restart changed link led additional details let provide thank engineer friday critical peer session hi monitoring primary router lost physical thanks regards infrastructure networking working pm friday critical peer session hi unable thanks regards infrastructure networking working pm friday critical peer session hi circuit went sh sh summary router identifier number table version main routing table version entries bytes memory path entries bytes memory path attribute entries bytes memory path entries bytes memory community entries bytes memory route map entries bytes memory filter entries bytes memory total bytes memory received paths soft reconfiguration activity prefixes paths interval secs neighbor idle thanks regards infrastructure networking working pm friday critical peer session ca spectrum alarm details vt ca spectrum alarm id probable affected device details device description router branch location device type interface description probable cause peer session symptoms session peer established established probable causes communication peer interrupted peer peer recommended actions status peer event session peer dynamic bb gone established idle event ca spectrum console ca console disclaimer contain confidential privileged information intended recipient received error notify immediately destroy delete notified unauthorized copying disclosure material strictly prohibited communication informational purposes intended offer solicitation purchase sale instrument official confirmation transaction information contained communication warranted completeness accuracy subject change notice comments statements communication necessarily reflect affiliates,Hardware
79,web hello order decommission best regards engineer friday hi decommission best regards test consultant logo logo pm hello performing determine unused requested deploy let running decommission looking forward best regards engineer,Hardware
80,transfer request oracle pas rights level replicate buyer reports make programme report,Internal Project
81,extend mailbox size extend mailbox size hi extend mailbox size mb free informed deleted unwanted mails large ones thank kind regards ledger accountant,Storage
82,new card card hi guys que activate card worker paint wall morning best regards engineer ext,Access
83,schedule monday morning post version upgrade schedule morning post version upgrade hello upgrade dynamics successfully completed schedule morning post version upgrade best regards senior engineer friday create snapshot production importance high dear users attached templates include product owner app let questions,Administrative rights
84,perform indexing prod monday time perform indexing prod,HR Support
85,wants access principles wants principles principles document thank accept decline requests,Storage
86,time sheets sheets hi entries thank,HR Support
87,addresses devices addresses devices hi mobile devices belong testing added perform tests daily work add thanks best regards engineer ext information confidential legally privileged intended solely addressee opinions expressed necessarily represent opinions susceptible interference intended recipient disclosure copying action taken omitted taken reliance strictly prohibited unlawful received error attachments notify delete accepts responsibility information errors omissions misuse act committed omitted communication doubt verify authenticity contents rely virus checkers responsibility taken damage rising virus infection registered number registered old broad street kingdom provide clients subsidiaries separate entity liability entity acts omissions thursday pm addresses devices device kind regards tester information confidential legally privileged intended solely addressee opinions expressed necessarily represent opinions susceptible interference intended recipient disclosure copying action taken omitted taken reliance strictly prohibited unlawful received error attachments notify delete accepts responsibility information errors omissions misuse act committed omitted communication doubt verify authenticity contents rely virus checkers responsibility taken damage rising virus infection registered number registered old broad street kingdom provide clients subsidiaries separate entity liability entity acts omissions,Access
88,retrieval new purchase po purchase po dear purchased log allocation log retrieve old device kind regards administrator,Purchase
89,new starter tower starter discipline dear informed candidate accepted job offer discipline february create credentials attached form thank best regards specialist,HR Support
90,licence licence hello let tool cost install pc want investigate include invoice commercial client regards discipline lead,Access
91,export gal export gal hi guys export gal tried doing returns rows table thank,HR Support
92,visual studio visual studio hello dear requires license visual studio possibility provide regards engineer mob,Access
93,additional monitor additional monitor hello kindly asking log assign provide monitor update relevant information assisting thank kind regards administrator friday pm additional monitor hello provide additional monitor relocated tower thank regards engineer mob,Hardware
94,new version version hi discussed installed slave download confirmation id thank senior engineer,Administrative rights
95,new purchase po hello received ex po advise log kind regards engineer ext,Purchase
96,access upload modify documents upload modify hi write accumulations order add upload modify documentation thank planned annual leave,HR Support
97,admin account access level level hi needed privileges work example registries modify certain files privileges colleagues example certainty thanks best regards engineer ext information confidential legally privileged intended solely addressee opinions expressed necessarily represent opinions susceptible interference intended recipient disclosure copying action taken omitted taken reliance strictly prohibited unlawful received error attachments notify delete accepts responsibility information errors omissions misuse act committed omitted communication doubt verify authenticity contents rely virus checkers responsibility taken damage rising virus infection registered number registered old broad street kingdom provide clients subsidiaries separate entity liability entity acts omissions,Access
98,access password reset hi germany tried site reports details needs administrator advise possible member client best regards lead,Access
99,new purchase po purchase po dear purchased monitor inch wide type log allocation receive item consideration mandatory receipts section order make receipt item ordered video link kind regards administrator,Purchase
100,old access old hi old breakdown thank officer,HR Support
101,new purchase po purchase po dear purchased keyboards wired headphones log allocation receive item consideration mandatory receipts section order make receipt item ordered video link kind regards administrator,Purchase
102,laptop stand request stand hi kindly ask stand appreciate speed procedure experiencing serous neck discomfort pain thank best regards lead,Hardware
103,need monitor monitor hello dear moved location tower monitor connect location floor relax area kind discipline lead,Hardware
104,new purchase po purchase po dear purchased galaxy shock proof rugged cover log allocation kind regards administrator,Purchase
105,new purchase po purchase po dear purchased monitor inch log allocation receive item consideration mandatory receipts section order make receipt item ordered video link kind regards administrator,Purchase
106,access hi connect failure colleague successfully connected guess user needs rights configuration thanks great application engineer,Hardware
107,domain admin account hi reactivated work velocity advise process approvals required regards infrastructure consultant,Access
108,new delivery bucharest hello received lite order id invoice advise log receiving shipment kind regards engineer ext,Purchase
109,needed new customer project needed dear help setting excel attached let information needed addition near future accounts client cheers,Internal Project
110,change job titles change job titles dear change job titles engineer engineer thank,Miscellaneous
111,notification maintenance hi environment mode weekend duration period won accessible communication users client heads client infrastructure attached completed form additional information hesitate thank analyst,Hardware
112,manage access list manage hi additional comments visible owner taking role thanks client,Miscellaneous
113,video component decommissioning physical equipment video component decommissioning hi guys requested decommissioning video component kindly update documentation meantime log physical equipment specifically information thank,Purchase
114,new service configuration service periscope support configuration periscope hello working component called periscope test environments configured infrastructure provide infrastructure monitoring based attached document added document created add avoid confusion thank let additional details regards,Access
115,audio video calls conference rooms audio video calls rooms dear kind schedule meeting video capable rooms quickly demonstrate features addition user guide available knowledge base useful trio guide log assign queue kind regards engineer ext audio video calls rooms hi availability video calls rooms working audio video source dial monitor camera thanks mob,Hardware
116,carrier change request carrier change dear changing confirmed thank,Miscellaneous
117,changing default mobile phone number forwarding calls changing default mobile phone number forwarding calls hi change mobile phone forward calls mobile phone instead forwarded work mobile phone thank regards senior infrastructure engineer infrastructure upcoming holiday id,Hardware
118,project population population hi assign based export importing application thank engineer,Internal Project
119,reminder leaver reminder leaver hi assign best regards analyst friday pm reminder leaver hi kind leaver form help needed let thank friday reminder leaver hi received believe advise thanks friday reminder leaver dear submit leaver form messages requests note mailbox receive messages,HR Support
120,change update assigned queue hello change dear assign thank engineer,Miscellaneous
121,close projects annual leave codes assigned hi close best regards analyst friday pm annual leave codes assigned hi reason believe added codes looking approve saw timecard error looking annual leave codes active selected image form prod today doubled timecard annual leave requested absence inserted code thursday pm annual leave codes assigned hi annual leave closed visible cards anymore best regards analyst thursday pm annual leave codes assigned hello closed thank wednesday pm annual leave codes assigned hi annual leave closed countries created went date future close best regards analyst wednesday annual leave codes assigned hi close codes closed corrections timecards opened absences closed thank tuesday pm annual leave codes assigned hi far past cards codes facing issues regarding lot close cases deal old cards close date best regards analyst tuesday pm annual leave codes assigned advised record number assigned review details appropriate action description annual leave codes hi best regards analyst tuesday pm annual leave codes hello work timecards annual leave codes active logged background work think close thank officer summary annual leave codes number priority moderate assignment location center link attachments image image image image kind regards ref msg,HR Support
122,new starter february dear colleagues going february starts starts starts starts forms attached great,HR Support
123,maternity leaver form maternity leaver form hello maternity leaver form today maternity leave,HR Support
124,update access cards access update bun reg si update ave interval interval interval,Access
125,upload rights edit location pm practice upload rights location pm hello location pm area disciplines libraries pm disc cross sessions view ca ribbon thank,Storage
126,creative services titles creative titles hello update job titles senior designer senior designer designer visual designer visual designer designer senior visual designer visual designer visual designer visual designer head creative moment analyst analyst split discipline creating confusion calls thank head creative,Access
127,permanent conference permanent hi way setup meeting permanent id client dedicated thanks ex regards,Access
128,hardware hardware hi guys que hardware retrieval floor monitor best regards engineer ext,Hardware
129,project license license hi instance installed changed provide instructions thank,Access
130,create scheduled report create scheduled report hello kind log help setting scheduled weekly report report highlighted included highlighted agent tried creating path actual schedule agent run tried actual report run agent agent make busy code options ones furthermore selecting curiosity let submit thank best regards leader,Hardware
131,new purchase po purchase po dear purchased cartridge toner cyan cartridge toner magenta toner yellow log allocation item consideration mandatory receipts section order receive item ordered video link receipt number item needed processed thank kind regards administrator,Purchase
132,list hi change possible log thanks friday december pm approved friday december pm dear owner kindly looking forward hearing thank kind regards analyst ext history reference history additional comments visible update task task assignment assignee owner closed complete work notes description hi persons change ref msg,Miscellaneous
133,access test test hi user connect thank friday test hi today test cases user help rights thank thursday december accounts assigned hi thank ask works thank wednesday december pm accounts assigned hi added roles rights works questions hesitate best regards engineer wednesday december pm accounts assigned advised record number assigned review details appropriate action description accounts hi thank providing misses test cases module rights details regards wednesday december pm accounts hi enter help rights created thank wednesday december accounts hi status credentials received granted work credentials received accessed certificates received delayed join probably tomorrow wrote best regards wednesday december accounts hi accesses working thank tuesday december pm accounts hi credentials sorry delay forwarding details thank friday december accounts hello advised ad accounts created display display assist let best regards analyst ext hub summary accounts number priority moderate assignment location center link attachments image image kind regards ref msg,Access
134,declined set video interview declined video interview la engineer ext,Hardware
135,amend filters snow hello kindly asking help amend personal filters visible snow multiple ones anymore add explain exactly ones add thank,Miscellaneous
136,reallocate phones en reallocate phones hello kind log assets attached reallocated tickets assigned colleagues care physically removing assets area thank best regards leader,Purchase
137,oracle time registration issue registration issue hello having trouble working app report modal receive warning error create card date date print screen attached steps lead problem report modal completed selected format selected date save close deleted wednesday help issue thank,HR Support
138,add reaching hello received unusual wonder safe trap thank friday reaching good evening appreciate solution wanted interested exploring effectively leveraging work resource best practices share companies industry solution teams help learn thank wonderful evening avenue redwood ca,Hardware
139,request access en net hello guys connected connect chrome browser result err timed attached proof details help regards senior tester,Hardware
140,architect installation license architect installation license hello help installation architect user license thank,Access
141,return maternity return maternity maternity ca calculator maternity si ca exact cum ca va,HR Support
142,contracts extensions contracts extensions dear advised interns permanent contract february contract extensions finished internship finished internship finished internship finished internship vatic finished internship finished internship finished internship finished internship finished internship finished internship finished internship kind regards,HR Support
143,access hi provide working seed training repository thank senior tester,Access
144,annual leave wrong records annual leave wrong records hi reported wrong calculation annual leave annual leave december showed supposed absence records kindly assign best regards engineer,HR Support
145,contract end contract thanks copy signed covers period update databases accordingly thanks kind regards mobility officer contract hi contract extension thanks alerts wrote dear contract contract extended date note disabled contract ended thank,Miscellaneous
146,area clean en phone area clean hello kind log assets attached reallocated tickets assigned colleagues care physically removing assets area thank best regards leader,HR Support
147,block hi attached thank,HR Support
148,access oracle hello write required thank,HR Support
149,cable cable hi guys log assign cable second display thank engineer,Hardware
150,increasing limit size increasing limit size hi limit increased nature role numerous requests gets hard kind regards planning officer infrastructure upcoming holiday friday february consider environment print,Storage
151,notification dynamics upgrade create snapshot production dear users attached templates include product owner app let questions thursday create snapshot production hello going upgrade starting schedule snapshot creation production order backup worst possible prefer possible snapshot taken morning person saturday restoring snapshot wrong thank best regards senior engineer,Administrative rights
152,mom intermittent mom intermittent hi guys highlighted bit thanks wednesday pm mom intermittent importance high hello discussed agreed today regarding intermittent issues setup daily matter representatives informed progress ensure status update daily advise log additional tickets related matter going tracking purposes work vendor setup site visit cables connecting switches core switch believed root cause work capture traffic single devices tickets bandwidth concern feel free add missed thank,Miscellaneous
153,mail reaching hi guys received little suspicious thanks developer blvd floor district friday reaching good evening appreciate solution wanted interested exploring effectively leveraging work resource best practices share companies industry solution teams help learn thank wonderful evening avenue redwood ca,Hardware
154,report requirement report requirement hi rise assign thanks best regards engineer thursday pm report requirement hello include natural tax good report named tax taxable expected output exactly tax column taxable shown attached example report shows taxable base query tax reconciliation taxable report attached sample output let questions kind regards,Hardware
155,communication communication hello kind merge attached text exactly highlighted thank best regards leader leave notice february dear user migrated prompted restart changes administrator follow migration instructions located important notes mobile phone migration recreate continue calendar phone important restart client receive warning select allow prior migration verify ready pre checks identify issue notified postponed migrated later date requests shared mailbox migrated possible migrated shared february experience issues client migration log thank,Hardware
156,advise layout snow hello advise layout attached example changed contains relevant information looking forward hearing thanks kind regards,Miscellaneous
157,access documents updated hello sorry bother currently view table sow va add teams contract client ask permission thanks help kind regards officer,Miscellaneous
158,device recovery report printer alert duplex unit set device recovery report printer duplex unit printer details tray tray selected tray copier busy details tray tray fax busy details tray tray scanner busy details model device comment host printer print file printer zone computer share device printer printer notified,Miscellaneous
159,low score incident registration request low score registration hello modify survey score putting instead thanks low score registration hi remember putting survey got thats survey wrote hello did appreciate input enable continue investigation best regards leader low score registration hello firstly thank taking feedback survey input helps identify areas improvement deliver better colleagues secondly appreciate details regarding having repeat information issue rated receive details investigate best regards leader developer central quay glasgow download daily record seven app download daily record seven android app largest multimedia publishers award winning portfolio brands important notice attachments meant intended recipient contain confidential privileged information intended recipient reliance disclosure copying attachments strictly prohibited notify immediately received mistake delete attachments views opinions solely author necessarily represent companies hereinafter referred tm tm accept liability content consequences actions taken basis information provided information subsequently confirmed writing reasonable effort free viruses tm accept liability virus transmitted attachments recipient date virus checking software subject interception monitoring operational reasons lawful practices parent companies registered canada square canary wharf,Hardware
160,terminal connection request terminal hello writing order make regarding forbidden terminals terminal connect port thanks best regards software engineer,Hardware
161,new starter belgrade belgrade thursday pm february dear hires join february attached thank kind regards administrator,HR Support
162,new starter belgrade belgrade february dear hires join february attached thank kind regards administrator,HR Support
163,confluence access confluence hi help confluence science thanks,Access
164,tunnel profile tunnel profile hello installed tunnel file create profile application needs profile thanks help kind regards engineer,Access
165,send bucharest staff facility blvd rd floor,HR Support
166,reset password client client dear updated credentials thank,Access
167,port access azure hi help providing port let details thank thursday pm azure la port tx thursday pm azure hi developers azure ready created users accounts generate extract database remote client port words problem generate template problem version kernel downgrade change boot load version probably create explain version kernel working wednesday tasks hi thanks update ex tables logs working wednesday tasks hi tasks created users database developers created generate database status active task unable table ex repository report oats script added checks test create delete engineer nab kiev ukraine,Access
168,need share point mb file storage share mb file storage dear taking agile joint presentation efforts order single presentation occurs slides video heavy order avoid let storage tomorrow till thanks lot help kind regards,Storage
169,license visual studio professional license visual studio professional hello provide license steps visual studio professional purposes kind regards,Access
170,remove access floors floors hi thanks lot spotting best regards thursday pm floors hi member suggest floors removed floor redirect thanks,HR Support
171,external account hello create confluence high priority user required require additional information hesitate thank kind regards analyst,Access
172,kind request pas access kind hello add pm codes thanks,Internal Project
